"time","transferFunction.y"
9.768,-0.4693632338450701
9.78,-0.3781161221788427
9.792,-0.2868145672776333
9.804,-0.1954717043452376
9.816,-0.1041006919730116
9.828,-0.0127146893341294
9.84,0.07867314365564937
9.852,0.170049646627545
9.864,0.2614016606286974
9.876,0.3527160307911512
9.888,0.4439796156870109
9.9,0.5351792683491059
9.912,0.6263018560346243
9.924,0.7173342570424044
9.936,0.8082633625998656
9.948,0.8990760787498029
9.96,0.9897593290996707
9.972,1.080300056967529
9.984,1.170685223420679
9.996,1.260901813224967
10.008,1.350936835484106
10.02,1.440777325532137
10.032,1.530410346825776
10.044,1.619822990885204
10.056,1.709002381814685
10.068,1.797935679232712
10.08,1.886610077246385
10.092,1.975012807436106
10.104,2.063131140741063
10.116,2.150952389344774
10.128,2.238463900342702
10.14,2.325653074395893
10.152,2.412507358359875
10.164,2.499014246042775
10.176,2.585161281608271
10.188,2.670936061441781
10.2,2.756326235607206
10.212,2.841319493241971
10.224,2.925903605226323
10.236,3.010066392259163
10.248,3.093795736098981
10.26,3.17707958139838
10.272,3.259905937538484
10.284,3.342262875244024
10.296,3.424138521086185
10.308,3.505521096356287
10.32,3.586398883069889
10.332,3.666760236452281
10.344,3.746593586729188
10.356,3.825887440917542
10.368,3.904630371242347
10.38,3.982811030288151
10.392,4.0604181710007
10.404,4.137440619397843
10.416,4.213867286351561
10.428,4.289687169323186
10.44,4.364889354098544
10.452,4.439462991180426
10.464,4.513397344955488
10.476,4.586681777115571
10.488,4.659305736532026
10.5,4.731258767987031
10.512,4.802530513841681
10.524,4.873110715704213
10.536,4.942989174523506
10.548,5.012155848902561
10.56,5.080600781661763
10.572,5.148314118986501
10.584,5.215286113363684
10.596,5.281507125171848
10.608,5.346967616783969
10.62,5.411658129111248
10.632,5.475569370974258
10.644,5.5386921409655
10.656,5.601017352128572
10.668,5.662536033459834
10.68,5.723239331410149
10.692,5.783118491588207
10.704,5.842164870819028
10.716,5.900369987616341
10.728,5.957725462625847
10.74,6.014223039886202
10.752,6.069854588232379
10.764,6.124612102698963
10.776,6.178487670011899
10.788,6.231473529817029
10.8,6.283562067788223
10.812,6.334745785762331
10.824,6.38501731704987
10.836,6.434369427730653
10.848,6.482795017949518
10.86,6.530287067106502
10.872,6.576838759074937
10.884,6.62244339770876
10.896,6.667094418959737
10.908,6.710785397415269
10.92,6.753510047477937
10.932,6.795262218176147
10.944,6.83603584558892
10.956,6.875825094142412
10.968,6.914624236466594
10.98,6.952427688963833
10.992,6.989230012864502
11.004,7.025025915282519
11.016,7.059810228892886
11.028,7.093577910338778
11.04,7.126324127683131
11.052,7.158044168117496
11.064,7.188733467915202
11.076,7.218387613356019
11.088,7.247002341650831
11.1,7.274573502041032
11.112,7.301097112861781
11.124,7.326569377650051
11.136,7.350986631430326
11.148,7.374345362573297
11.16,7.396642213583481
11.172,7.417873981886895
11.184,7.438037558819177
11.196,7.457130058499345
11.208,7.475148744253677
11.22,7.492091024819905
11.232,7.507954465470637
11.244,7.52273678865884
11.256,7.536435871801826
11.268,7.549049674921571
11.28,7.560576426070054
11.292,7.571014467878716
11.304,7.580362301104652
11.316,7.588618585129642
11.328,7.595782138459134
11.34,7.601851920224304
11.352,7.606827009378682
11.364,7.6107067271703
11.376,7.613490517727199
11.388,7.615177984428169
11.4,7.615768890252038
11.412,7.615263158126933
11.424,7.613660833371671
11.436,7.610962125034891
11.448,7.607167450416642
11.46,7.602277359084607
11.472,7.596292559862464
11.484,7.589213921027101
11.496,7.581042470505865
11.508,7.571779336579918
11.52,7.561425861733672
11.532,7.54998355435346
11.544,7.537454065590897
11.556,7.523839204738083
11.568,7.509140939271502
11.58,7.493361394895909
11.592,7.476502772021377
11.604,7.458567541949011
11.616,7.439558291446298
11.628,7.41947776162098
11.64,7.398328849492046
11.652,7.376114607879996
11.664,7.352838231246219
11.676,7.328503015994248
11.688,7.303112507412939
11.7,7.276670364402047
11.712,7.249180398707042
11.724,7.220646574656454
11.736,7.191073008899221
11.748,7.160463938466393
11.76,7.128823740948876
11.772,7.09615700411061
11.784,7.062468434869285
11.796,7.027762888734856
11.808,6.992045369395699
11.82,6.955321028304796
11.832,6.917595113344367
11.844,6.878873055662223
11.856,6.839160451713063
11.868,6.798463023242538
11.88,6.756786635286005
11.892,6.714137295606264
11.904,6.670521154131245
11.916,6.625944430964731
11.928,6.580413575461011
11.94,6.533935151962645
11.952,6.486515856691963
11.964,6.438162522845841
11.976,6.38888211988864
11.988,6.338681744671715
12,6.287568568856537
12,6.287568568856537
